#year_cycle: used for the calculation of daily solar irradiation
21 366 # num_year_cycle len_year_cycle
2000 1 366 1 366
2001 1 365 367 731
2002 1 365 732 1096
2003 1 365 1097 1461
2004 1 366 1462 1827
2005 1 365 1828 2192
2006 1 365 2193 2557
2007 1 365 2558 2922
2008 1 366 2923 3288
2009 1 365 3289 3653
2010 1 365 3654 4018
2011 1 365 4019 4383
2012 1 366 4384 4749
2013 1 365 4750 5114
2014 1 365 5115 5479
2015 1 365 5480 5844
2016 1 366 5845 6210
2017 1 365 6211 6575
2018 1 365 6576 6940
2019 1 365 6941 7305
2020 1 366 7306 7671
